ID,Intro to CS,Data structure,Software engineering,Operative systems,Algorithms,Computer organization,GPA
cs0075,92,60,75,81,69,64,80
cs0076,92,81,68,84,90,74,85
cs0077,92,81,66,81,76,73,81
cs0078,97,93,89,86,93,65,80
cs0079,94,85,92,81,79,76,65
cs0080,87,87,84,84,85,66,85
cs0081,89,96,71,84,96,74,83
cs0082,93,68,96,87,72,64,76
cs0083,80,78,63,81,82,78,80
cs0084,96,90,65,82,92,73,89
cs0085,92,99,72,92,95,65,82
cs0086,90,87,65,82,88,74,67
cs0087,93,73,64,84,76,69,83
cs0088,81,87,64,81,82,71,72
cs0089,88,81,89,87,75,72,81
cs0090,96,72,91,86,80,77,85
cs0091,86,96,68,81,100,93,85
cs0092,81,85,94,83,93,73,65
cs0093,86,64,97,81,59,72,82
cs0094,85,83,60,85,79,66,96
cs0095,84,73,61,80,66,94,79
cs0096,93,84,66,89,87,71,64
cs0097,90,74,70,82,81,78,71
cs0098,87,91,56,81,87,65,82
cs0099,82,66,65,85,57,81,62
cs0100,93,90,68,89,100,94,72
cs0101,96,73,86,85,63,74,86
cs0102,94,90,59,83,80,74,95
cs0103,88,98,61,82,100,71,57
cs0104,81,97,96,81,88,77,90
cs0105,91,93,57,89,93,66,77
cs0106,90,89,90,82,88,73,76
cs0107,91,78,81,81,86,70,95
cs0108,88,94,93,82,87,80,77
cs0109,91,92,67,83,82,93,99
cs0110,90,84,71,82,82,75,67
cs0111,96,94,65,82,94,69,75
cs0112,92,94,65,87,94,69,69
cs0113,93,87,87,84,97,61,72
cs0114,91,94,59,87,89,71,82
cs0115,82,92,91,85,96,66,65
cs0116,84,92,66,85,91,74,61
cs0117,84,91,63,92,92,92,89
cs0118,89,88,63,90,78,78,80
cs0119,90,74,65,88,82,88,73
cs0120,86,83,58,89,75,82,94
cs0121,89,63,89,83,53,77,67
cs0122,81,82,74,83,87,73,70
cs0123,97,97,72,85,99,97,99
cs0124,90,73,83,82,79,77,78
cs0125,88,100,70,84,92,65,99
cs0126,91,76,93,80,73,79,64
cs0127,82,66,60,82,69,99,78
cs0128,97,77,65,81,68,75,74
cs0129,90,91,60,85,88,74,72
cs0130,97,81,91,83,72,75,77
cs0131,95,85,84,81,76,92,90
cs0132,96,76,76,89,86,75,66
cs0133,91,85,63,83,82,68,67
cs0134,86,85,74,82,95,74,83
cs0135,98,75,89,81,66,76,93
cs0136,86,78,91,84,68,76,96
cs0137,99,83,58,83,93,76,78
cs0138,88,85,86,82,87,76,75
cs0139,88,100,61,87,93,72,65
cs0140,89,80,96,86,74,75,90
cs0141,86,84,81,81,81,81,76
cs0142,97,93,65,82,83,76,80
cs0143,92,85,60,81,94,74,82
cs0144,89,84,95,84,75,77,86
cs0145,99,87,61,84,94,79,91
cs0146,82,99,60,81,94,65,73
cs0147,99,91,91,85,96,78,76
cs0148,95,82,68,84,86,97,73
cs0149,88,85,55,82,83,68,62
cs0150,87,77,65,84,67,75,65
cs0151,94,87,56,84,89,76,94
cs0152,89,86,78,85,87,72,81
cs0153,77,85,73,83,93,75,93
cs0154,84,80,92,81,82,66,71
cs0155,83,95,65,81,91,63,78
cs0156,89,88,93,87,83,78,90
cs0157,88,70,71,84,64,74,77
cs0158,85,94,98,87,96,75,97
cs0159,86,68,65,81,66,78,84
cs0160,90,67,75,83,62,74,78
cs0161,97,65,88,87,55,70,69
cs0162,91,100,65,84,100,90,99
cs0163,85,88,67,83,79,71,60
cs0164,88,95,56,81,90,71,68
cs0165,95,92,91,90,99,76,98
cs0166,95,97,66,81,97,80,68
cs0167,84,90,63,82,100,92,82
cs0168,86,97,64,81,87,77,95
cs0169,93,97,70,87,93,67,75
cs0170,90,83,75,90,81,76,78
cs0171,81,79,63,85,81,78,72
cs0172,91,95,65,87,92,74,92
cs0173,80,83,100,84,91,81,88
cs0174,90,88,61,86,95,82,78
cs0175,91,94,69,81,94,64,94
cs0176,82,94,59,81,86,75,67
cs0177,92,71,93,87,64,77,89
cs0178,97,96,61,85,96,66,89
cs0179,86,99,60,85,100,68,87
cs0180,94,83,67,80,77,79,77
cs0181,90,94,72,80,91,72,79
cs0182,87,81,73,83,80,75,83
cs0183,90,91,94,83,99,73,89
cs0184,90,91,72,89,81,77,93
cs0185,88,77,89,84,81,65,95
cs0186,95,90,71,89,88,73,87
cs0187,93,81,80,85,88,75,84
cs0188,90,69,92,85,78,75,71
cs0189,94,84,66,93,86,75,69
cs0190,90,78,70,91,78,77,62
cs0191,86,84,66,85,81,63,67
cs0192,92,90,66,81,85,74,91
cs0193,88,65,92,88,55,64,72
cs0194,89,96,82,83,91,72,95
cs0195,87,96,61,86,96,79,93
cs0196,89,80,69,84,79,81,88
cs0197,94,78,63,87,78,65,68
cs0198,93,92,95,83,86,63,83
cs0199,94,81,94,84,81,86,94
cs0200,87,79,99,82,84,65,87
cs0201,88,97,70,84,97,69,92
cs0202,88,86,67,83,95,73,98
cs0203,90,63,66,89,53,70,71
cs0204,86,97,86,83,89,79,78
cs0205,88,99,97,83,99,61,79
cs0206,97,100,66,80,100,72,86
cs0207,93,88,68,83,85,74,91
cs0208,87,77,71,82,87,67,74
cs0209,91,92,69,83,92,64,86
cs0210,92,86,69,85,86,97,70
cs0211,92,96,88,87,96,76,72
cs0212,87,77,79,81,69,70,93
cs0213,90,90,83,87,91,68,89
cs0214,98,89,67,87,86,77,85
cs0215,91,86,65,85,91,63,75
cs0216,88,57,65,82,57,70,89
cs0217,91,95,90,81,97,74,96
cs0218,86,73,60,82,64,74,87
cs0219,88,78,72,89,78,67,75
cs0220,80,76,58,80,75,75,71
cs0221,93,84,60,82,83,95,87
cs0222,96,71,66,86,75,90,80
cs0223,92,78,59,83,86,67,84
cs0224,91,89,96,83,88,70,92
cs0225,88,87,71,82,97,89,77
cs0226,91,78,62,83,80,66,84
cs0227,87,81,89,85,83,77,88
cs0228,88,92,96,82,87,72,85
cs0229,85,80,84,87,71,80,71
cs0230,86,80,64,82,85,65,87
cs0231,92,80,61,84,85,72,80
cs0232,96,94,70,88,89,79,88
cs0233,98,71,53,80,81,65,97
cs0234,90,92,84,85,92,66,66
cs0235,94,74,62,86,71,72,66
cs0236,87,66,64,83,71,79,70
cs0237,77,66,69,81,76,75,65
cs0238,88,70,70,81,65,86,91
cs0239,88,93,68,81,92,77,75
cs0240,81,89,60,81,87,91,77
cs0241,98,79,87,82,70,88,52
cs0242,91,87,64,86,95,78,66
cs0243,96,88,89,86,85,64,65
cs0244,93,89,89,83,79,76,68
cs0245,92,91,91,84,96,80,99
cs0246,92,78,54,85,71,75,67
cs0247,90,88,71,86,87,75,91
cs0248,91,79,55,85,82,71,66
cs0249,92,93,91,80,100,77,71
cs0250,95,94,64,90,92,74,89
cs0251,88,82,94,83,77,91,70
cs0252,80,78,63,82,69,79,85
cs0253,94,91,61,84,84,62,93
cs0254,86,90,91,86,96,75,69
cs0255,90,92,66,83,98,71,85
cs0256,89,80,63,86,78,75,78
cs0257,89,90,93,85,87,97,69
cs0258,81,86,94,88,79,79,71
cs0259,92,86,70,81,85,68,79
cs0260,87,84,63,86,77,64,94
cs0261,82,82,74,84,83,72,64
cs0262,89,93,68,83,84,73,85
cs0263,93,85,64,82,88,62,77
cs0264,86,64,62,84,60,92,76
cs0265,97,89,56,80,79,62,89
cs0266,92,98,90,83,91,77,91
cs0267,87,97,61,82,93,94,92
cs0268,89,86,92,88,83,89,79
cs0269,90,71,62,87,74,76,100
cs0270,98,89,84,82,87,67,64
cs0271,84,83,71,89,86,79,74
cs0272,89,97,63,85,97,71,92
cs0273,94,83,61,80,80,65,93
cs0274,94,88,97,86,97,78,76
cs0275,91,89,87,84,82,74,76
cs0276,89,75,84,85,68,70,94
cs0277,91,65,62,80,68,65,86
cs0278,90,95,71,81,95,87,86
cs0279,96,61,74,81,65,71,58
cs0280,99,82,67,83,75,63,61
cs0281,93,77,67,86,78,92,97
cs0282,87,67,61,82,65,73,80
cs0283,87,92,55,84,92,67,76
cs0284,93,73,65,86,77,71,83
cs0285,89,96,62,80,96,91,87
cs0286,88,69,66,81,78,65,83
cs0287,91,62,88,86,59,75,66
cs0288,92,72,94,88,64,70,94
cs0289,86,71,58,90,77,65,80
cs0290,84,89,64,83,97,76,79
cs0291,87,91,68,81,87,95,85
cs0292,89,94,61,82,91,64,90
cs0293,91,71,73,81,65,74,83
cs0294,96,81,87,81,89,64,66
cs0295,97,89,90,86,85,67,82
cs0296,87,73,64,83,78,78,90
cs0297,88,73,91,83,83,77,96
cs0298,91,83,69,85,90,83,85
cs0299,96,100,95,85,100,68,85
cs0300,90,92,92,84,89,75,72
cs0301,85,76,71,81,86,80,74
cs0302,90,66,75,83,57,73,89
cs0303,97,79,57,81,79,76,93
cs0304,84,80,62,92,90,79,79
cs0305,89,89,60,87,86,64,90
cs0306,89,90,60,85,91,69,81
cs0307,93,82,65,84,81,97,75
cs0308,86,80,94,80,77,85,70
cs0309,94,77,95,82,81,74,74
cs0310,88,83,92,90,77,81,63
cs0311,88,69,65,82,71,78,82
cs0312,83,86,65,89,84,63,78
cs0313,82,70,67,81,77,76,84
cs0314,88,69,63,87,69,84,72
cs0315,92,73,63,89,73,73,63
cs0316,97,81,53,83,77,76,84
cs0317,98,70,62,81,61,73,94
cs0318,89,83,69,89,87,77,91
cs0319,86,85,62,83,81,65,81
cs0320,90,91,69,87,95,78,75
cs0321,94,94,61,81,84,65,96
cs0322,91,73,87,86,75,74,92
cs0323,96,91,56,81,84,65,82
cs0324,89,92,73,86,85,74,82
cs0325,97,88,65,85,91,68,83
cs0326,84,84,71,87,92,75,93
cs0327,92,77,88,81,71,91,77
cs0328,99,86,97,84,83,72,77
cs0329,86,73,56,90,66,72,74
cs0330,94,81,89,83,78,77,84
cs0331,96,77,67,81,70,72,82
cs0332,93,82,66,89,90,64,84
cs0333,84,79,60,84,71,78,98
cs0334,88,98,60,90,95,95,74
cs0335,92,94,59,85,94,90,68
cs0336,84,72,68,90,69,74,85
cs0337,98,90,89,83,89,79,82
cs0338,95,97,89,86,96,76,77
cs0339,89,74,55,85,84,79,57
cs0340,86,100,95,81,100,80,93
cs0341,93,87,91,81,95,65,97
cs0342,85,89,60,83,98,66,86
cs0343,98,83,89,87,90,66,96
cs0344,89,78,80,83,86,67,69
cs0345,93,76,93,84,78,76,91
cs0346,91,82,73,80,86,74,70
cs0347,90,87,59,93,84,76,58
cs0348,91,77,61,81,77,67,93
cs0349,89,89,91,91,86,76,94
cs0350,85,76,65,89,72,71,72
cs0351,92,78,65,85,72,71,76
cs0352,93,91,66,81,91,74,92
cs0353,97,73,72,80,83,81,89
cs0354,96,88,69,85,78,72,71
cs0355,92,64,96,82,72,80,85
cs0356,91,70,56,80,71,65,85
cs0357,86,99,60,83,91,94,76
cs0358,87,95,63,82,88,69,64
cs0359,91,82,65,80,92,74,81
cs0360,87,88,84,90,81,95,94
cs0361,93,66,65,83,66,78,75
cs0362,90,86,92,80,93,90,61
cs0363,83,89,92,82,82,71,92
cs0364,90,86,71,82,78,81,72
cs0365,86,76,60,84,78,87,84
cs0366,86,92,67,86,97,76,87
cs0367,90,88,63,86,80,90,76
cs0368,87,86,65,82,76,86,86
cs0369,92,82,91,83,90,76,97
cs0370,99,89,70,80,80,79,83
cs0371,92,78,65,86,81,91,84
cs0372,88,97,66,82,97,64,92
cs0373,87,72,66,85,81,96,79
cs0374,90,92,59,85,89,75,84
cs0375,91,69,92,87,78,73,58
cs0376,86,82,58,84,91,72,84
cs0377,90,92,63,87,91,74,70
cs0378,86,82,67,84,76,66,65
cs0379,93,97,89,84,97,66,73
cs0380,86,100,93,88,100,78,67
cs0381,92,92,85,84,92,72,87
cs0382,87,65,65,82,58,67,73
cs0383,93,93,68,85,87,75,87
cs0384,93,89,62,86,91,76,86
cs0385,97,83,67,81,83,65,100
cs0386,96,77,87,90,68,68,85
cs0387,89,79,81,82,70,75,61
cs0388,89,81,68,87,90,78,78
cs0389,86,77,59,81,83,66,75
cs0390,93,78,84,85,75,78,63
cs0391,85,74,99,82,81,75,65
cs0392,87,91,95,90,97,76,92
cs0393,76,85,57,85,88,74,82
cs0394,92,87,93,84,87,97,80
cs0395,94,99,95,86,89,70,63
cs0396,86,94,64,80,85,95,96
cs0397,91,90,89,84,98,90,74
cs0398,95,84,86,81,75,77,71
cs0399,94,97,89,92,97,76,63
cs0400,94,91,60,84,89,76,92
cs0401,84,91,71,85,94,65,74
cs0402,96,84,57,85,88,72,78
cs0403,92,76,87,82,70,63,84
cs0404,83,82,65,85,92,77,63
cs0405,90,100,59,81,100,98,75
cs0406,93,87,71,80,95,90,95
cs0407,86,94,66,84,84,74,67
cs0408,91,73,55,84,82,68,87
cs0409,90,84,73,86,77,76,71
cs0410,87,75,90,83,70,64,69
cs0411,96,92,88,87,92,76,81
cs0412,83,95,67,81,93,88,77
cs0413,83,89,70,85,82,67,78
cs0414,90,96,83,81,96,76,91
cs0415,91,87,61,81,79,95,86
cs0416,81,70,79,82,78,74,79
cs0417,90,96,66,88,89,81,77
cs0418,97,72,69,80,76,65,80
cs0419,94,78,93,86,84,91,85
cs0420,90,95,54,83,86,95,85
cs0421,85,93,91,80,96,67,93
cs0422,92,79,57,83,86,63,75
cs0423,94,71,66,83,64,67,96
cs0424,97,84,90,87,82,75,84
cs0425,92,85,57,87,77,64,96
cs0426,92,73,69,82,70,77,97
cs0427,93,81,95,81,82,64,87
cs0428,85,88,68,80,81,77,80
cs0429,91,80,66,92,78,73,97
cs0430,93,94,70,82,89,79,69
cs0431,88,72,55,84,69,90,96
cs0432,90,91,69,81,82,67,76
cs0433,87,78,69,83,81,76,93
cs0434,94,99,59,83,99,94,65
cs0435,93,80,65,89,77,75,50
cs0436,90,73,96,87,80,73,73
cs0437,89,94,83,86,97,78,78
cs0438,89,91,96,83,99,78,91
cs0439,85,99,87,88,99,66,79
cs0440,86,89,64,88,97,77,89
cs0441,82,95,61,82,87,78,75
cs0442,89,94,95,86,91,85,79
cs0443,88,87,68,85,78,75,75
cs0444,94,89,75,82,86,63,97
cs0445,98,71,63,87,76,82,96
cs0446,82,90,76,81,96,64,94
cs0447,78,88,88,86,84,68,83
cs0448,92,86,86,82,86,86,80
cs0449,91,86,65,84,90,73,79
cs0450,87,84,89,80,81,67,82
cs0451,85,68,63,86,76,77,81
cs0452,87,61,63,81,62,76,96
cs0453,88,86,65,82,84,77,78
cs0454,100,63,70,84,68,75,87
cs0455,90,86,83,89,78,78,87
cs0456,87,75,65,90,81,63,82
cs0457,79,86,98,85,79,65,75
cs0458,90,76,61,84,67,66,93
cs0459,92,71,70,81,75,77,86
cs0460,91,87,62,81,87,73,62
cs0461,95,81,58,82,88,77,84
cs0462,94,69,64,85,75,73,84
cs0463,91,94,62,83,92,82,72
cs0464,90,95,95,81,97,72,84
cs0465,85,92,58,82,96,64,90
cs0466,94,79,84,85,85,84,86
cs0467,85,88,54,90,90,67,94
cs0468,81,86,73,83,85,80,67
cs0469,94,76,62,80,74,88,76
cs0470,90,90,65,90,84,63,64
cs0471,91,75,82,83,77,72,97
cs0472,85,93,66,81,84,63,66
cs0473,95,64,57,83,62,73,88
cs0474,85,99,67,82,99,79,78
cs0475,98,86,66,81,88,78,81
cs0476,97,84,72,81,76,78,72
cs0477,96,87,59,87,82,77,88
cs0478,88,74,75,83,68,74,78
cs0479,87,84,97,83,79,73,70
cs0480,85,92,61,86,100,76,62
cs0481,88,82,69,81,85,76,95
cs0482,87,86,87,85,95,65,79
cs0483,82,82,65,83,83,67,76
cs0484,92,72,63,82,64,72,77
cs0485,88,86,57,84,93,72,96
cs0486,88,94,89,89,85,77,85
cs0487,92,94,93,82,97,78,73
cs0488,95,78,90,86,78,63,82
cs0489,96,73,69,81,73,66,61
cs0490,93,87,58,81,80,77,97
cs0491,88,93,86,81,84,64,94
cs0492,88,92,61,87,97,84,83
cs0493,97,83,69,81,78,75,79
cs0494,95,90,67,82,83,74,79
cs0495,84,74,67,87,77,75,91
cs0496,81,78,66,83,70,64,90
cs0497,91,80,69,85,75,74,99
cs0498,94,78,86,80,72,76,73
cs0499,95,96,60,85,96,71,90
cs0500,88,78,54,82,71,67,74
cs0501,96,72,71,81,81,75,84
cs0502,84,94,75,82,84,70,65
cs0503,95,67,69,83,58,69,99
cs0504,87,81,57,82,82,71,79
cs0505,87,72,72,87,65,66,89
cs0506,100,71,61,83,61,72,85
cs0507,92,88,88,84,86,65,83
cs0508,95,99,59,85,99,76,57
cs0509,95,85,82,84,81,68,79
cs0510,90,71,86,86,80,93,71
cs0511,87,84,97,80,74,70,63
cs0512,93,83,54,83,75,73,63
cs0513,83,83,98,80,87,77,69
cs0514,96,96,64,89,96,74,86
cs0515,94,90,96,84,88,77,80
cs0516,83,94,72,82,85,72,77
cs0517,86,77,97,89,74,66,88
cs0518,80,88,72,83,88,65,96
cs0519,87,87,64,83,83,76,59
cs0520,84,79,93,83,89,77,65
cs0521,90,88,63,83,79,73,76
cs0522,95,70,77,84,73,84,71
cs0523,85,88,67,90,87,74,99
cs0524,86,84,57,82,77,79,68
cs0525,99,64,83,84,54,73,95
cs0526,92,68,73,82,61,64,87
cs0527,85,79,95,87,71,81,83
cs0528,93,92,60,84,96,63,92
cs0529,86,84,85,85,78,68,95
cs0530,94,81,68,82,82,82,67
cs0531,93,100,62,84,100,78,97
cs0532,92,98,63,85,98,78,69
cs0533,94,92,66,91,92,72,93
cs0534,94,89,69,88,87,66,83
cs0535,89,90,84,85,88,95,76
cs0536,89,90,66,82,82,93,60
cs0537,82,71,62,92,68,74,73
cs0538,96,93,59,86,98,74,88
cs0539,86,77,72,83,71,64,76
cs0540,92,67,65,81,68,64,93
cs0541,91,97,91,81,93,63,67
cs0542,84,83,81,83,73,75,73
cs0543,90,85,83,80,77,62,64
cs0544,94,82,56,85,86,78,84
cs0545,92,70,89,87,75,72,70
cs0546,94,90,70,87,87,75,65
cs0547,86,96,52,89,96,82,68
cs0548,88,91,90,85,96,74,97
cs0549,84,85,73,81,82,60,82
cs0550,81,89,67,86,89,70,79
cs0551,88,76,94,82,66,80,86
cs0552,82,82,88,89,84,74,68
cs0553,88,95,72,83,97,73,66
cs0554,87,80,95,89,86,71,62
cs0555,97,86,61,81,77,62,87
cs0556,96,82,66,82,90,92,83
cs0557,90,82,74,84,88,63,95
cs0558,90,83,58,88,76,65,59
cs0559,96,76,90,84,73,69,87
cs0560,90,76,70,84,72,74,78
cs0561,87,69,70,84,68,78,99
cs0562,79,83,59,85,91,64,76
cs0563,95,75,65,83,67,76,96
cs0564,91,91,59,81,86,75,73
cs0565,83,92,86,85,98,74,99
cs0566,85,80,64,81,90,89,54
cs0567,94,81,69,82,91,72,76
cs0568,85,94,72,88,89,75,70
cs0569,96,76,64,81,81,66,87
cs0570,86,86,70,84,87,79,98
cs0571,88,86,52,85,79,69,70
cs0572,88,86,65,81,80,72,98
cs0573,86,98,68,81,98,73,60
cs0574,92,74,73,81,70,66,69
cs0575,91,91,67,83,89,89,86
cs0576,91,76,63,84,71,76,88
cs0577,89,92,65,86,86,74,95
cs0578,86,74,64,84,75,73,68
cs0579,86,81,62,81,90,72,99
cs0580,90,72,68,84,72,78,85
cs0581,94,79,60,82,80,63,82
cs0582,97,79,57,80,87,72,83
cs0583,87,98,89,86,98,76,80
cs0584,85,93,65,88,83,80,74
cs0585,97,67,94,89,76,74,100
cs0586,92,96,64,87,89,78,76
cs0587,92,75,67,86,71,68,98
cs0588,87,86,68,88,90,90,83
cs0589,92,78,70,82,69,67,80
cs0590,83,83,84,82,80,76,66
cs0591,88,88,70,85,98,65,77
cs0592,86,65,55,83,69,70,93
cs0593,84,88,66,86,85,78,95
cs0594,88,87,96,85,81,75,63
cs0595,94,94,66,87,97,67,80
cs0596,97,81,62,83,91,70,70
cs0597,92,91,61,80,91,65,89
cs0598,94,97,86,81,97,72,84
cs0599,98,87,87,83,94,71,94
cs0600,87,91,66,82,87,67,75
cs0601,84,76,62,83,86,65,79
cs0602,97,81,68,86,77,76,72
cs0603,90,89,70,83,85,71,74
cs0604,83,90,68,82,93,72,93
cs0605,86,64,73,83,67,66,69
cs0606,91,93,62,82,93,78,81
cs0607,91,87,63,84,78,74,79
cs0608,85,63,56,80,54,79,87
cs0609,88,82,65,87,76,77,82
cs0610,91,86,61,83,81,73,91
cs0611,87,79,96,83,82,73,88
cs0612,89,83,69,83,80,72,95
cs0613,96,78,62,80,86,74,60
cs0614,81,78,82,82,69,68,66
cs0615,84,79,69,86,70,92,90
cs0616,89,83,62,83,77,64,89
cs0617,98,81,63,83,78,76,73
cs0618,87,84,63,84,81,64,83
cs0619,86,78,91,89,85,63,90
cs0620,84,78,64,85,78,77,73
cs0621,90,97,71,82,93,89,82
cs0622,92,81,70,82,75,79,86
cs0623,89,79,97,87,71,77,84
cs0624,88,74,63,83,77,76,76
cs0625,91,91,94,83,81,75,76
cs0626,93,82,62,80,77,90,59
cs0627,87,95,68,83,95,72,95
cs0628,95,83,61,82,83,63,83
cs0629,88,99,70,80,99,65,97
cs0630,89,89,63,88,91,78,84
cs0631,96,82,88,82,78,77,79
cs0632,92,74,67,81,76,69,86
cs0633,94,92,60,80,85,78,82
cs0634,92,96,62,86,97,72,60
cs0635,100,85,59,87,77,68,94
cs0636,91,85,70,83,76,65,66
cs0637,87,83,63,83,90,76,85
cs0638,85,86,64,86,94,77,81
cs0639,83,97,60,82,91,66,87
cs0640,91,86,67,87,87,74,87
cs0641,91,95,60,82,95,73,98
cs0642,96,70,64,87,78,79,73
cs0643,89,84,71,86,75,81,87
cs0644,88,74,73,87,68,77,72
cs0645,85,93,68,87,85,75,82
cs0646,89,76,83,82,70,76,80
cs0647,91,73,69,89,74,77,73
cs0648,91,90,64,82,81,91,98
cs0649,88,92,57,84,92,80,76
cs0650,81,92,70,82,90,73,87
cs0651,87,75,68,88,71,75,89
cs0652,87,78,67,89,70,75,79
cs0653,85,86,90,81,77,77,89
cs0654,91,80,66,82,81,66,52
cs0655,85,87,65,88,94,72,64
cs0656,83,88,60,83,79,76,90
cs0657,88,85,97,87,93,76,62
cs0658,92,94,70,81,94,65,97
cs0659,98,80,71,80,86,84,86
cs0660,84,73,65,81,70,73,81
cs0661,98,76,57,83,68,71,84
cs0662,88,98,95,80,88,89,83
cs0663,96,82,59,81,79,65,78
cs0664,88,77,58,88,78,72,76
cs0665,92,83,85,88,84,74,96
cs0666,86,96,69,82,96,75,79
cs0667,94,80,65,94,86,80,87
cs0668,92,77,89,81,69,75,89
cs0669,91,73,66,83,74,76,84
cs0670,86,88,59,84,98,73,77
cs0671,90,69,62,81,68,71,95
cs0672,94,75,64,83,73,76,72
cs0673,97,85,80,83,91,77,95
cs0674,87,75,54,86,69,79,65
cs0675,97,79,60,85,87,74,89
cs0676,92,72,60,81,71,76,96
cs0677,86,85,70,83,89,66,78
cs0678,98,90,63,86,89,68,87
cs0679,88,75,54,84,71,74,96
cs0680,86,65,69,84,70,75,87
cs0681,88,100,64,82,100,88,73
cs0682,97,80,89,85,83,71,68
cs0683,85,85,97,87,83,76,69
cs0684,85,86,63,81,90,69,93
cs0685,87,95,64,83,95,71,90
cs0686,83,81,73,82,76,86,85
cs0687,94,88,71,84,93,78,76
cs0688,83,91,88,86,100,100,73
cs0689,90,100,93,84,100,75,82
cs0690,87,87,63,81,78,94,95
cs0691,93,86,90,80,96,82,78
cs0692,90,94,95,85,96,65,76
cs0693,78,77,88,93,69,62,99
cs0694,89,76,66,85,71,76,85
cs0695,88,63,80,83,57,74,64
cs0696,82,80,72,94,88,67,89
cs0697,95,85,70,82,88,77,84
cs0698,86,92,93,80,91,71,81
cs0699,81,90,73,81,88,64,68
cs0700,90,67,68,80,61,88,91
cs0701,95,80,52,83,74,66,82
cs0702,92,86,90,85,85,78,88
cs0703,93,90,75,90,95,83,100
cs0704,96,79,73,84,71,69,99
cs0705,91,92,63,86,82,93,93
cs0706,86,93,97,83,93,69,92
cs0707,88,95,65,80,89,75,68
cs0708,93,94,57,87,92,80,76
cs0709,79,89,67,83,87,98,100
cs0710,94,78,67,81,80,62,83
cs0711,91,82,71,80,81,74,81
cs0712,87,76,63,81,69,92,76
cs0713,89,69,72,86,76,66,79
cs0714,87,93,69,82,89,65,62
cs0715,91,96,66,83,100,78,91
cs0716,98,94,74,90,94,62,88
cs0717,79,73,60,80,66,64,89
cs0718,89,98,67,84,98,73,100
cs0719,93,89,85,80,84,76,81
cs0720,94,87,54,83,86,80,78
cs0721,91,84,68,90,86,79,73
cs0722,92,82,65,84,88,77,82
cs0723,87,68,63,86,59,70,92
cs0724,88,90,96,82,98,72,93
cs0725,92,81,63,81,89,73,71
cs0726,92,81,96,89,78,74,59
cs0727,93,84,67,91,82,61,59
cs0728,88,87,64,84,91,75,84
cs0729,84,74,91,83,64,66,100
cs0730,85,81,62,83,91,69,74
cs0731,96,83,91,81,81,64,81
